uri,day,headline_count,has_hero
www.wsj.com,2016-10-02,10,1
www.wsj.com,2016-10-03,10,1
www.wsj.com,2016-10-04,10,1
www.wsj.com,2016-10-05,10,1
www.wsj.com,2016-10-06,10,1
www.wsj.com,2016-10-07,10,1
www.wsj.com,2016-10-08,10,1
www.wsj.com,2016-10-09,10,1
www.wsj.com,2016-10-10,10,1
www.wsj.com,2016-10-11,10,1
www.wsj.com,2016-10-12,10,1
www.wsj.com,2016-10-13,10,1
www.wsj.com,2016-10-14,10,1
www.wsj.com,2016-10-15,10,1
www.wsj.com,2016-10-16,10,1
www.wsj.com,2016-10-17,10,1
www.wsj.com,2016-10-18,10,1
www.wsj.com,2016-10-19,10,1
www.wsj.com,2016-10-20,8,1
www.wsj.com,2016-10-21,10,1
www.wsj.com,2016-10-22,10,1
www.wsj.com,2016-10-23,10,1
www.wsj.com,2016-10-24,10,1
www.wsj.com,2016-10-25,10,1
www.wsj.com,2016-10-26,10,1
www.wsj.com,2016-10-27,10,1
www.wsj.com,2016-10-28,10,1
www.wsj.com,2016-10-29,10,1
www.wsj.com,2016-10-30,10,1
www.wsj.com,2016-10-31,10,1
abcnews.go.com,2016-06-01,0,0
abcnews.go.com,2016-06-02,0,0
abcnews.go.com,2016-06-03,0,0
abcnews.go.com,2016-06-04,0,0
abcnews.go.com,2016-06-05,0,0
abcnews.go.com,2016-06-06,0,0
abcnews.go.com,2016-06-07,0,0
abcnews.go.com,2016-06-08,0,0
abcnews.go.com,2016-06-09,0,0
abcnews.go.com,2016-06-10,0,0
abcnews.go.com,2016-06-11,0,0
abcnews.go.com,2016-06-12,0,0
abcnews.go.com,2016-06-13,0,0
abcnews.go.com,2016-06-14,0,0
abcnews.go.com,2016-06-15,0,0
abcnews.go.com,2016-06-16,0,0
abcnews.go.com,2016-06-17,0,0
abcnews.go.com,2016-06-18,0,0
abcnews.go.com,2016-06-19,0,0
abcnews.go.com,2016-06-20,0,0
abcnews.go.com,2016-06-21,0,0
abcnews.go.com,2016-06-22,0,0
abcnews.go.com,2016-06-23,0,0
abcnews.go.com,2016-06-24,0,0
abcnews.go.com,2016-06-25,0,0
abcnews.go.com,2016-06-26,0,0
abcnews.go.com,2016-06-27,0,0
abcnews.go.com,2016-06-28,0,0
abcnews.go.com,2016-06-29,0,0
abcnews.go.com,2016-06-30,0,0
www.chicagotribune.com,2016-06-01,6,1
www.chicagotribune.com,2016-06-02,6,1
www.chicagotribune.com,2016-06-03,6,1
www.chicagotribune.com,2016-06-04,6,1
www.chicagotribune.com,2016-06-05,4,1
www.chicagotribune.com,2016-06-06,6,1
www.chicagotribune.com,2016-06-07,6,1
www.chicagotribune.com,2016-06-08,6,1
www.chicagotribune.com,2016-06-09,6,1
www.chicagotribune.com,2016-06-10,6,1
www.chicagotribune.com,2016-06-11,6,1
www.chicagotribune.com,2016-06-12,6,1
www.chicagotribune.com,2016-06-13,4,1
www.chicagotribune.com,2016-06-14,4,1
www.chicagotribune.com,2016-06-15,4,1
www.chicagotribune.com,2016-06-16,3,1
www.chicagotribune.com,2016-06-17,6,1
www.chicagotribune.com,2016-06-18,6,1
www.chicagotribune.com,2016-06-19,6,1
www.chicagotribune.com,2016-06-20,6,1
www.chicagotribune.com,2016-06-21,6,1
www.chicagotribune.com,2016-06-22,6,1
www.chicagotribune.com,2016-06-23,6,1
